Year,SERIES,AGE,Beverage,SEX,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,DATA_LAST_UPDATE,Value
2002,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.12
2001,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.06
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,4.98
1999,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.25
1998,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.37
1997,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.27
1996,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.29
1995,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.21
1994,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.09
1993,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.24
1992,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.47
1991,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.62
1990,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.62
1989,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.68
1988,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.65
1987,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.49
1986,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.73
1985,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.75
1984,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.84
1983,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.91
1982,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.86
1981,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.1
1980,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.48
1979,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.85
1978,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.77
1977,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.68
1976,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.83
1975,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.73
1974,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.61
1973,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.45
1972,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.09
1971,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,7.01
1970,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.8
1969,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.62
1968,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.35
1967,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.21
1966,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.12
1965,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.99
1964,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,6.02
1963,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.79
1962,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.77
1961,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Beer,,Normal value,Units,Litres pure alcohol,National,,5.81
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.3
2018,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.44
2017,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.52
2016,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.46
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.39
2014,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.3
2013,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.28
2012,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.22
2011,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.22
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.23
2009,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.17
2008,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.4
2007,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.51
2006,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.25
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.42
2004,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.33
2003,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.05
2002,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.28
2001,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.6
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,3.25
1999,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,2.48
1998,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,2.4
1997,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,2.29
1996,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,2.09
1995,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,2.03
1994,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.96
1993,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.87
1992,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.81
1991,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.81
1990,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.8
1989,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.78
1988,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.72
1987,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.65
1986,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.41
1985,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.36
1984,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.31
1983,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.16
1982,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.07
1981,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,1.06
1980,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.99
1979,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.99
1978,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.92
1977,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.77
1976,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.83
1975,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.75
1974,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.76
1973,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.75
1972,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.59
1971,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.51
1970,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.42
1969,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.41
1968,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.42
1967,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.37
1966,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.34
1965,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.32
1964,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.34
1963,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.3
1962,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.29
1961,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Wine,,Normal value,Units,Litres pure alcohol,National,,0.28
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.35
2018,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.39
2017,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.26
2016,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.18
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.08
2014,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.02
2013,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.04
2012,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.11
2011,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.12
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.2
2009,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.12
2008,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.26
2007,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.33
2006,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.25
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.46
2004,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.52
2003,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],15 and over,Spirits,,Normal value,Units,Litres pure alcohol,National,,2.45
